venue_id,venue_name,current_monday,current_tuesday,current_wednesday,current_thursday,current_friday,current_saturday,current_sunday,last_year_monday,last_year_tuesday,last_year_wednesday,last_year_thursday,last_year_friday,last_year_saturday,last_year_sunday,current_week_total,last_year_week_total,monday_change,tuesday_change,wednesday_change,thursday_change,friday_change,saturday_change,sunday_change,week_change,week_number,year,personnel_expense_ratio,estimated_profit,debit_variation,debit_variation_previous,debit_variation_variation,holiday_name,holiday_flag
1,PAMPLONA,0.0,1326.0,1291.9,1756.65,2286.78,1675.25,1287.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9624.28,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,2024,0.0,12122.53,,,,New Year's Day,True
1,PAMPLONA,0.0,1326.0,1291.9,1756.65,2286.78,1675.25,1287.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9624.28,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,2024,0.0,12122.53,,,,Epiphany,True
2,BILBAO,0.0,576.66,810.75,677.2,1866.25,1597.4,1079.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6608.01,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,2024,0.0,7603.76,,,,New Year's Day,True
2,BILBAO,0.0,576.66,810.75,677.2,1866.25,1597.4,1079.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6608.01,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,2024,0.0,7603.76,,,,Epiphany,True
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,0.0,0.0,,,,New Year's Day,True
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,0.0,0.0,,,,Epiphany,True
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,0.0,0.0,,,,New Year's Day,True
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,0.0,0.0,,,,Epiphany,True
5,VITORIA,0.0,622.9,0.0,545.75,1829.8,1278.05,1523.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.35,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1,2024,0.0,5800.35,,,,New Year's Day,True
5,VITORIA,0.0,622.9,0.0,545.75,1829.8,1278.05,1523.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.35,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1,2024,0.0,5800.35,,,,Epiphany,True
